,Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
22894,2017,Legend of the Demon Cat,Chinese,Chen Kaige,"Huang Xuan, Shōta Sometani, Kitty Zhang, Qin Hao, Sandrine Pinna",drama / suspense / fantasy / costume,https://en.wikipedia.org/wiki/Legend_of_the_Demon_Cat,"The story is set in China during the Tang Dynasty (618–907). A demon cat appears and breaks the peace of the capital, Chang’an City, causing a series of strange events. Poet Bai Letian and Monk Kukai join together to investigate the death of Concubine Yang by following the trail left by the cat, unveiling a buried fact.[1]"
22892,2017,The Thousand Faces of Dunjia,Chinese,Yuen Woo-ping,"Da Peng, Ni Ni, Aarif Lee, Zhou Dongyu, Wu Bai",action / fantasy,https://en.wikipedia.org/wiki/The_Thousand_Faces_of_Dunjia,The film follows a group of swordsmen's adventures to secretly protect humankind by hunting some mysterious creatures from the outer space.
32773,2017,Duvvada Jagannadham,Telugu,Harish Shankar,"Allu Arjun, Pooja Hegde, Vennela Kishore",action comedy,https://en.wikipedia.org/wiki/Duvvada_Jagannadham,"Duvvada Jagannatham Sastry (Allu Arjun) is a cook, working as a caterer in Vijayawada along with his family.Jagannatham rescues a high-profile cop (Murali Sharma) from the attack of a crime mafia in Hyderabad. Seeing the quality of a rebellion in the priest, and his sharp shooting skills, the cop trains the priest to become DJ, an encounter specialist who fights crime in disguise of a Brahmin priest. Jagannadham falls in love with Pooja (Pooja Hegde) the daughter of a corrupt home minister (Posani Krishna Murali) involved with yet another real estate crime lord Royyala Naidu (Rao Ramesh) who operates Naidu Industries, and Agro Diamond Financing company in disguise. On the other hand, DJ decides to take on Royyala Naidu in his mission but does not know who he is in actual life. Rest of the story is as how Duvvada Jagannadham uses Royyala Naidu's son Royyala Avinash (Subbaraju) who suffers with Histrionic personality disorder, and through him DJ destroys Royyala Naidu's corrupt business empire, thereby rescuing Agro Diamond scam victims."
22891,2017,The Chainbreakers,Chinese,Yang Rui,"Duobujie, Wang Ziyi, Yangshik Tso",drama / history / western,https://en.wikipedia.org/wiki/The_Chainbreakers,"In the autumn of 1950, the 18th Army of the People's Liberation Army (PLA) march to Chamdo, Tibet from Sichuan, they plan to liberate Tibet and free all the slaves.[5]"
22890,2017,Manhunt,Chinese,John Woo,"Zhang Hanyu, Masaharu Fukuyama, Stephy Qi, Ha Ji-won, Jun Kunimura",drama / action / suspense,https://en.wikipedia.org/wiki/Manhunt_(2017_film),"Du Qiu is a Chinese lawyer who has defeated many legal suits filed against his employer Tenjin Pharmaceuticals but is now being moved to America by his management. He attends a party where the president of the company, Yoshihiro Sakai, appoints his son Hiroshi as head of development of new pharmaceuticals. At the party Du Qiu meets a half-Chinese woman, Mayumi, but loses track of her. Sakai tells a mysterious woman to seduce Du Qiu to remain in Japan. She dances with him at the party then sneaks to his house before he arrives later.
Du Qiu wakes up to find the unknown woman dead in his bed. Du Qiu calls the police and insists that he is innocent. While he is being taken away, corrupt policeman Mamoru Ito creates an opportunity for him to escape by shooting another officer. Du Qiu loses the police by running down a subway tunnel in front of a moving subway car and escaping out an exit at a station that is still under construction. Yamura and his new partner Rika follow Yamura's intuition to the same spot, where they find Du Qiu disguised as a worker. Yamura reaches for his gun but Du Qiu puts a nail gun to Rika's head. Yamura surrenders his gun and trades himself for Rika. Du Qiu and Yamura drive away but crash into a dove cage, sending the white birds flying everywhere as they fight. Du Qiu escapes and hides in a shanty town where people are recruited to take part in drug tests by Tenjin. He is aided by the elderly Mr. Sakamoto and other residents in evading the police during a search there.
The assassin Rain is hired to kill Du Qiu but she recognizes him as a man who had previously helped her when she was threatened by a gang so she intentionally misses the shot with her sniper rifle, much to her sister and partner Dawn's annoyance. Yamura pursues Du Qiu in a high-speed jet ski chase and when Du Qiu's jet ski stops running he climbs over Yamura onto a bridge to escape. Mayumi meets him there and they run away together.
Mayumi explains that her deceased fiancé shot himself on the day of their planned wedding after losing a legal battle to Tenji due to Du Qiu's legal skills. She shows him the park where the wedding took place as Rain and Dawn arrive on motorcycles shooting at Du Qiu. Yamura arrives and drives into Dawn, then pursues Du Qiu and Mayumi in a high-speed car chase until Du Qiu crashes, flipping the car. Yamura helps Du Qiu pull Mayumi from the wreck then handcuffs himself to Du Qiu and they run from the sisters into the woods, where Mayumi tells Yamura that she was with Du Qiu at the time of the murder. They flee to Mayumi's farm, where they defend themselves in a gunfight against the pursuing sisters, accompanied by a gang of armed motorcyclists. During the battle they damage Mayumi's wedding dress, still covered in her fiancé's blood from that day. They are chased outside, where they witness Dawn injecting drugs in order to be able to keep fighting despite her injuries. She collapses then dies in Rain's arms after saying that the drugs were too strong. Rika drives them to the hospital, where Yamura tells her to remove the handcuffs and lets Du Qiu escape.
Mamoru Ito is revealed as the one who staged the murder to make Du Qiu look guilty to cover up for the real murderer, Yoshihiro Sakai's son Hiroshi. He demands money from Yoshihiro Sakai but is shot by Rain. Rika has an analysis run on drugs dropped by Ito and finds that they are a strong stimulant. Mayumi calls Rika and gives her the secret formula for the drug that her fiancé was killed for but is then captured by Rain.
Mr. Sakamoto helps Du Qiu get aboard a truck taking test subjects to Tenjin's laboratories where torturous tests are conducted on them. Mr. Sakamoto is given a drug that makes him a relentless killer. He kills several of the other prisoners before begging Du Qiu to kill him and then impaling himself on a sharp stick. Yoshihiro Sakai reassures a foreign investor that his new drug allows the mind of the subject to be controlled in order to create a more controllable killing machine. He recognizes Du Qiu and has him strapped into a machine to test his resistance to pain. Yamura arrives and offers to tell the formula to the Sakais in exchange for Du Qiu. Rain, upset about Tenjin's treatment of her sister, releases Mayumi. Yoshihiro gives Du Qiu the new drug and forces him to fight Yamura but Yamura convinces him to resist the drug and they join together to fight the guards. Yoshihiro orders Rain to kill them but she shoots the guards instead. Hideo injects himself with the new drug to prove its effects and continues fighting even after being shot several times by Yamura and Du Qiu. He begins to strangle Mayumi but is shot by Yamura. As he is dying he confesses that Du Qiu just showed up at the wrong time after Hideo had murdered the woman. He lunges at Yamura, who shoots him several more times until he is dead. Yoshihiro shoots Rain and Du Qiu but is then shot dead by them and Yamura. Du Qiu tells Rain to stay strong but as she dies she insists that old movies always end this way. Yoshihiro says that he is going to be with his son and shoots himself in the head. At that moment Rika arrives with the police to rescue the survivors and Yamura gives her a sample of the drug that he grabbed from the laboratory. The final scene shows Yamura at a train station bidding Du Qiu farewell, ""for a better tomorrow."""
22889,2017,Angels Wear White,Chinese,Unknown,,drama,https://en.wikipedia.org/wiki/Angels_Wear_White,"Mia (Vicky Chen), a teenager, works as a cleaner in a motel in a small seaside town. One night, while manning the reception for her co-worker Lili (Peng Jing), she witnesses an assault of two 12-year-old schoolgirls by a middle-aged man. Through the surveillance TV, she sees the man forces himself into the girls' room and records the whole incident with her hand phone. Mia keeps quiet for fear of losing her job. However, for one of the victims, Xiaowen (Zhou Meijun) realises that her troubles have only just begun. As Mia and Xiaowen find themselves in ever harrowing circumstances and nowhere to run, they have to work together to find their own way out.[2][3][4][5]"
22888,2017,Love Is a Broadway Hit,Chinese,Peter Lee,"Wang Likun, Godfrey Gao, Li Yuan, Wang Chuanjun",comedy / romance,https://en.wikipedia.org/wiki/Love_Is_a_Broadway_Hit,"Two Asian performers attempting to make it in New York City are brought together by serendipity, only to become rivals vying for the lead role of Mulan on Broadway.[1]"
22887,2017,S.M.A.R.T. Chase,Chinese,Charles Martin,"Orlando Bloom, Leo Wu, Simon Yam, Lynn Hung, Hannah Quinlivan",action / crime / adventure,https://en.wikipedia.org/wiki/S.M.A.R.T._Chase,"Danny Stratton, a washed-up private security agent, is given the rare opportunity to escort a valuable Chinese antique out of Shanghai, but is ambushed en route. With the safety of the woman he loves in jeopardy, Danny has to work with his Security Management Action Recovery Team members to save her, as a dreadful conspiracy begins to unravel."
22886,2017,Never Say Die,Chinese,Song Yang Zhang Chi-yu,"Allen, Ma Li, Shen Teng",comedy,https://en.wikipedia.org/wiki/Never_Say_Die_(2017_film),"A male boxer switches bodies by accident with a female journalist after the two are struck by lightning. Living out each other's lives in seemingly opposite roles, the two struggle to adjust, but eventually come to grips with each other, unearthing an even greater conspiracy within the boxing world."
22885,2017,The Foreigner,Chinese,Martin Campbell,"Jackie Chan, Pierce Brosnan",action,https://en.wikipedia.org/wiki/The_Foreigner_(2017_film),"Ngoc Minh Quan, a Chinese Nuang chef, runs a Chinese restaurant in London. When his teenage daughter Fan is killed in a clothing store bombing, a distraught Quan seeks revenge. The bombing is claimed by a group calling themselves the ""Authentic UDI"" in the film version released in Europe and ""Authentic IRA"" in the version released in certain other countries.[4][5] He first attempts to bribe Scotland Yard officer Richard Bromley for the names of the bombers, but Bromley refuses to accept the bribe or reveal any information. Quan next focuses on the Northern Ireland deputy First Minister Liam Hennessy, who speaks publicly about his status as a former UDI (read: IRA) leader while condemning the bombing. Keyi Lam, Quan's colleague and personal friend, attempts to console and convince him to move on, but he refuses to be swayed and eventually leaves for Belfast to meet Hennessy. Hennessy claims to have no knowledge of the bombing or its perpetrators, but Quan does not believe him. His queries escalate until he becomes fixated on Hennessy, setting off a homemade bomb in his office and threatening more unless he gets the bombers' names.
The truth is that Hennessy, while having ordered the bombings to come with warnings as part of a political ploy to solidify the radical factions, does not actually know who the bombers are, as they are rogue members of the UDI. He is in fact outraged that no warnings were given and civilians were killed. Hennessy tries to identify the bombers by changing the code words they use after any bombings are carried out, but the rogue members catch on and outwit him. Meanwhile, he sends numerous mercenaries and personal enforcers after Quan, who manages to escape or defeat all of them. He also observes Hennessy meeting with his mistress, Maggie, and takes a picture of them kissing. Quan then brings the fight to Hennessy, hiding in the woods outside his Belfast farmhouse and attacking it with more homemade bombs. As Hennessy's men attempt to track him in the woods, Quan uses traps to disable a group of three and attempts to interrogate one of them, but he is shot in the shoulder by a fourth mercenary and flees. Hennessy decides to send for his nephew Sean Morrison, who was part of the Royal Irish Regiment with Bromley, after Quan in hopes that his tracking skills can be used to stop him for good.
As Quan heats up a knife to cauterise the gunshot wound, he faints and has flashbacks of his escape from Vietnam to Singapore by sea, where he and his family are attacked by Thai pirates. He and his wife look on hopelessly as his two daughters are taken away to be raped and murdered by the pirates. As he tried to fight off the pirates, he and his wife were shot and both fell overboard. His wife later died giving birth to their daughter, Fan. Hennessy receives files from the British government on Quan's true background: a former Vietnam War special operations forces soldier who was trained by the US Army.
After a second bombing on a double-decker bus, Hennessy negotiates with British politician Katherine Davies and promises the capture of the bombers in exchange for the pardoning of some of his former UDI comrades. Meanwhile, Bromley manages to identify the bombers and relays their identities to Hennessy, who then relays the information to Sean. After a knife fight in the woods, Quan manages to capture Sean, who reveals the name of one of the bombers: Patrick O'Reilly, who was also behind the bombing that killed Quan's daughter. In return, Quan decides to let Sean go. Hennessy, meanwhile, interrogates his head enforcer McGrath, discovering that the true mastermind is Mary, Hennessy's wife, who also hired Maggie; she has never let go of her anger at the British for the death of her brother and resents Hennessy's working for them. Hennessy executes McGrath for his betrayal and for involving his wife and mistress, then orders Sean to execute Mary—with whom Sean is having an affair—before returning to America.
As the police prepare to raid the bombers' hideout, Quan manages to enter first under the pretense of fixing a gas leak and single-handedly kills all but Maggie. Quan leaves just before the police raid the apartment and find a severely wounded Maggie, whose real name is Sara McKay. They torture her into revealing the location of their next bomb, which has been planted in a laptop computer, to be detonated on a plane going to a security conference in Rome. British police manage to find and throw the laptop into an empty jet bridge, where it detonates without casualties. With the threat resolved, Bromley orders the operation leave ""no loose ends"", which results in Maggie's execution. Hennessy gets a call from Davies, who tells him that he will retain his position as a politician but will be under her thumb.
Quan confronts Hennessy and shows him the picture of Hennessy kissing Maggie, which is enough to throw suspicion on Hennessy and his role in the bombings, as well as expose his affairs if the public sees it. Quan forces him to post the picture to the internet, telling him that he should be ashamed of himself and the whole world will know that he is a terrorist. Meanwhile, Bromley realizes Quan's role in the events and has him put under surveillance, but decides not to take any further action as a way to thank him for his involvement.
The film ends with Quan returning to his restaurant and Lam embracing him as he puts the past behind him."
